manufacturer,model,description,transmission,engineCapacity,fuelType,elecEnergyConsumption,maxRange,CO2,fuelCost,elecCost,totalCost,euro,enginePower
VOLVO,"V60, MY20","D4  Momentum Plus 18"" Alloy",6MT,1969,Diesel,0,,119,1327,,1327,Euro 6d-TEMP,190
VOLVO,"V60, MY20","D3  R-Design Plus 18"" Alloy",6MT,1969,Diesel,0,,119,1315,,1315,Euro 6d-TEMP,150
VOLVO,"V60, MY20","D4  Inscription Plus 18"" Alloy",6MT,1969,Diesel,0,,119,1523,,1523,Euro 6d-TEMP,190
VOLVO,"V60, MY20","D4  Inscription Plus 18"" Alloy",6MT,1969,Diesel,0,,119,1327,,1327,Euro 6d-TEMP,190
VOLVO,"V60, MY20","D4  Inscription Plus 19"" Alloy",8AT,1969,Diesel,0,,119,1582,,1582,Euro 6d-TEMP,190
VOLVO,"V60, MY20","D3  Inscription Plus 18"" Alloy",6MT,1969,Diesel,0,,119,1513,,1513,Euro 6d-TEMP,150
VOLVO,"V60, MY20","D3  Inscription Plus 18"" Alloy",6MT,1969,Diesel,0,,119,1315,,1315,Euro 6d-TEMP,150
VOLVO,"V60, MY20","D4  Inscription Plus 19"" Alloy",8AT,1969,Diesel,0,,119,1395,,1395,Euro 6d-TEMP,190
VOLVO,"V60, MY20","D4  Momentum Plus 19"" Alloy",8AT,1969,Diesel,0,,119,1582,,1582,Euro 6d-TEMP,190
VOLVO,"V60, MY20","D4  Momentum Plus 19"" Alloy",8AT,1969,Diesel,0,,119,1395,,1395,Euro 6d-TEMP,190
VOLVO,"V60, MY20","D4  R-Design Plus 18"" Alloy",6MT,1969,Diesel,0,,119,1523,,1523,Euro 6d-TEMP,190
VOLVO,"V60, MY20","D4  R-Design Plus 18"" Alloy",6MT,1969,Diesel,0,,119,1327,,1327,Euro 6d-TEMP,190
VOLVO,"V60, MY20","D4  R-Design Plus 19"" Alloy",8AT,1969,Diesel,0,,119,1582,,1582,Euro 6d-TEMP,190
VOLVO,"V60, MY20","D4  R-Design Plus 19"" Alloy",8AT,1969,Diesel,0,,119,1395,,1395,Euro 6d-TEMP,190
VOLVO,"V60, MY20","D4  Momentum Plus 18"" Alloy",6MT,1969,Diesel,0,,119,1523,,1523,Euro 6d-TEMP,190
VOLVO,"V60, MY20","D3  Momentum Plus 18"" Alloy",6MT,1969,Diesel,0,,119,1513,,1513,Euro 6d-TEMP,150
VOLVO,"V60, MY20","D3  Momentum Plus 18"" Alloy",6MT,1969,Diesel,0,,119,1315,,1315,Euro 6d-TEMP,150
VOLVO,"V60, MY20","D3  R-Design Plus 18"" Alloy",6MT,1969,Diesel,0,,119,1513,,1513,Euro 6d-TEMP,150
CITROEN,C3 Aircross SUV,PureTech 82 manual,m5,1199,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,83
CITROEN,C5 Aircross SUV,PureTech 130,m6,1199,Petrol,0,,120,1938,,1938,Euro 6d-TEMP,131
CITROEN,New Berlingo,M 1.5L BlueHDi 130 S&S,m6,1499,Diesel,0,,120,1617,,1617,Euro 6d-TEMP,131
DS,DS7 Crossback,PureTech 130,M6,1199,Petrol,0,,120,1542,,1542,Euro 6d-TEMP,131
FIAT,500 MY 2020,1.2 Rock Star 69HP,M5,1242,Petrol,0,,120,1481,,1481,Euro 6d-TEMP,69
FIAT,500C MY 2020,1.2 Rock Star 69HP,M5,1242,Petrol,0,,120,1481,,1481,Euro 6d-TEMP,69
FORD,New EcoSport Model Year Post 2019½,1.0 EcoBoost,M6,998,Petrol,0,,120,1630,,1630,Euro 6d-TEMP,125
FORD,New EcoSport Model Year Post 2019½,1.0 EcoBoost,M6,998,Petrol,0,,120,1630,,1630,Euro 6d-TEMP,140
FORD,Tourneo Courier Kombi Model Year Pre 2019¾,1.0 EcoBoost,M6,998,Petrol,0,,120,1657,,1657,Euro 6d-TEMP,100
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2019,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,0,,120,1755,,1755,Euro 6d-TEMP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-TEMP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD S 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SE 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1734,,1734,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
HONDA,CR-V 2020,CR-V 2.0 i-MMD SR 2WD 5 door (Standard Model),A5,1993,Petrol,,,120,1755,,1755,Euro 6d-WLTP,145
KIA,Ceed Sportswagon,1 1.0 T-GDi 118bhp 6-speed manual ISG,6MT,998,Petrol,0,,120,1481,,1481,Euro 6d-TEMP,120
KIA,Ceed Sportswagon,1 1.0 T-GDi 118bhp 6-speed manual ISG ADAP,6MT,998,Petrol,0,,120,1481,,1481,Euro 6d-TEMP,120
KIA,Ceed Sportswagon,'2' 1.0 T-GDi 118bhp ISG,M6,998,Petrol,0,,120,1506,,1506,Euro 6d-TEMP,120
KIA,Ceed Sportswagon,'2' 1.0 T-GDi 118bhp ISG with ADAP,M6,998,Petrol,0,,120,1506,,1506,Euro 6d-TEMP,120
KIA,Ceed Sportswagon,'2' 1.0 T-GDi 118bhp 6-speed manual ISG,6MT,998,Petrol,0,,120,1506,,1506,Euro 6d-TEMP,120
KIA,Ceed Sportswagon,'2' 1.0 T-GDi 118bhp 6-speed manual ISG with ADAP,6MT,998,Petrol,0,,120,1506,,1506,Euro 6d-TEMP,120
KIA,Picanto,X-Line MPi 1.25 83bhp 5-speed manual,5MT,1248,Petrol,0,0,120,1481,,1481,Euro 6d-TEMP,84
KIA,Picanto,X-Line S MPi 1.25 83bhp 5-speed manual,5MT,1248,Petrol,0,0,120,1481,,1481,Euro 6d-TEMP,84
KIA,Picanto,GT-Line MPi 1.25 83bhp 5-speed manual,5MT,1248,Petrol,0,0,120,1481,,1481,Euro 6d-TEMP,84
KIA,Picanto,GT-Line S MPi 1.25 83bhp 5-speed manual,5MT,1248,Petrol,0,0,120,1481,,1481,Euro 6d-TEMP,84
KIA,Sportage,'1' 1.6 CRDi 114bhp 6-speed manual ISG 2WD,M6,1598,Diesel,0,,120,1450,,1450,Euro 6d-TEMP,115
KIA,Sportage,'4' 1.6 CRDi 134bhp 48V 6-speed manual ISG 2WD,M6,1598,Diesel,0,,120,1579,,1579,Euro 6d-TEMP,136
KIA,Stonic,Mixx 1.0 T-GDi 118bhp 7-speed auto DCT ISG,7DCT,998,Petrol,0,0,120,1532,,1532,Euro 6d-TEMP,120
KIA,Stonic,3 1.0 T-GDi 118bhp 7-speed auto DCT ISG,7DCT,998,Petrol,0,0,120,1532,,1532,Euro 6d-TEMP,120
KIA,Stonic,4 1.0 T-GDi 118bhp 7-speed auto DCT ISG,7DCT,998,Petrol,0,0,120,1532,,1532,Euro 6d-TEMP,120
KIA,Stonic,'Maxx' 1.0 T-GDi 118bhp 7-speed auto DCT ISG,7DCT,998,Petrol,0,,120,1532,,1532,Euro 6d-TEMP,120
KIA,Sportage MY20,'1' 1.6 CRDi 114bhp ISG 2WD,M6,1598,Diesel,0,,120,1450,,1450,Euro 6d-TEMP,115
PEUGEOT,308,BlueHDi 180 S&S EAT8,a8,1997,Diesel,0,,120,1624,,1624,Euro 6d-TEMP,177
PEUGEOT,308 SW,BlueHDi 180 S&S EAT8,a8,1997,Diesel,0,,120,1624,,1624,Euro 6d-TEMP,177
PEUGEOT,3008 SUV,PureTech 130 S&S,m6,1199,Petrol,0,,120,1828,,1828,Euro 6d-TEMP,131
PEUGEOT,5008 SUV,PureTech 130 S&S,m6,1199,Petrol,0,,120,1828,,1828,Euro 6d-TEMP,131
PEUGEOT,Rifter,Standard 1.5L BlueHDi 130 S&S,m6,1499,Diesel,0,,120,1617,,1617,Euro 6d-TEMP,131
PEUGEOT,Rifter,Long 1.5L BlueHDi 130 S&S,m6,1499,Diesel,0,,120,1617,,1617,Euro 6d-TEMP,131
SEAT,Ateca,XCELLENCE 1.6 TDI NR   115PS,M6,1600,Diesel,0,,120,1371,,1371,Euro 6d-TEMP,115
SEAT,Ateca,XCELLENCE Lux 1.6 TDI NR   115PS,M6,1600,Diesel,0,,120,1371,,1371,Euro 6d-TEMP,115
SEAT,Ateca,SE 1.6 TDI NR   115PS,M6,1600,Diesel,0,,120,1346,,1346,Euro 6d-TEMP,115
SEAT,Ateca,SE Technology 1.6 TDI NR   115PS,M6,1600,Diesel,0,,120,1346,,1346,Euro 6d-TEMP,115
SEAT,Leon 5 Door,FR Sport 1.5 TSI EVO 150PS,M6,1500,Petrol,0,,120,1506,,1506,Euro 6d-TEMP,150
SEAT,Leon ST,FR Sport 1.5 TSI EVO 150PS,M6,1500,Petrol,0,,120,1532,,1532,Euro 6d-TEMP,150
SEAT,Leon ST,FR Sport 1.5 TSI EVO DSG-auto 150PS,A7,1500,Petrol,0,,120,1630,,1630,Euro 6d-TEMP,150
SUZUKI,SX4 S-Cross,1.0 Boosterjet 2WD,M5,998,Petrol,0,,120,1552,,1552,Euro 6d-TEMP,112
SUZUKI,S-Cross 2019,1.0 Boosterjet SZ-T,M5,998,Petrol,,,120,1576,,1576,Euro 6-WLTP,111
SUZUKI,S-Cross 2019,1.0 Boosterjet SZ4,M5,998,Petrol,,,120,1576,,1576,Euro 6-WLTP,111
VOLVO,V60 MY19,"D3  Momentum Pro 17"" Alloy",8AT,1969,Diesel,0,,120,1603,,1603,Euro 6d-TEMP,150
VOLVO,V60 MY19,"D3  Momentum Pro 17"" Alloy",8AT,1969,Diesel,0,,120,1414,,1414,Euro 6d-TEMP,150
VOLVO,V60 MY19,"D3  Momentum 17"" Alloy",8AT,1969,Diesel,0,,120,1603,,1603,Euro 6d-TEMP,150
VOLVO,V60 MY19,"D3  Momentum 17"" Alloy",8AT,1969,Diesel,0,,120,1414,,1414,Euro 6d-TEMP,150
VOLVO,"V60, MY20","D3  R-Design Plus 19"" Alloy",8AT,1969,Diesel,0,,120,1603,,1603,Euro 6d-TEMP,150
VOLVO,"V60, MY20","D3  R-Design Plus 19"" Alloy",8AT,1969,Diesel,0,,120,1414,,1414,Euro 6d-TEMP,150
VOLVO,"V60, MY20","D3  Inscription Plus 19"" Alloy",8AT,1969,Diesel,0,,120,1603,,1603,Euro 6d-TEMP,150
VOLVO,"V60, MY20","D3  Inscription Plus 19"" Alloy",8AT,1969,Diesel,0,,120,1414,,1414,Euro 6d-TEMP,150
VOLVO,"V60, MY20","D3  Momentum Plus 19"" Alloy",8AT,1969,Diesel,0,,120,1603,,1603,Euro 6d-TEMP,150
VOLVO,"V60, MY20","D3  Momentum Plus 19"" Alloy",8AT,1969,Diesel,0,,120,1414,,1414,Euro 6d-TEMP,150
CHRYSLER JEEP,Jeep Renegade MY 2019,1.6 (88kw 120bhp) FWD (AXM1B ?12D???),M6,1598,Diesel,0,0,121,1428,,1428,Euro 6d-TEMP,
CITROEN,New Berlingo,M 1.5L BlueHDi 130 EAT8 S&S,a8,1499,Diesel,0,,121,1621,,1621,Euro 6d-TEMP,131
DS,DS3 Crossback,PureTech 155 Automatic,A8,1199,Petrol,0,,121,1552,,1552,Euro 6d,155
FIAT,Tipo,1.6 Easy Hatchback (120 bhp),SAT6,1598,Diesel,0,,121,1477,,1477,Euro 6d-TEMP,120
FORD,New EcoSport Model Year Post 2019½,1.0 EcoBoost,M6,998,Petrol,0,,121,1630,,1630,Euro 6d-TEMP,100
FORD,New Tourneo Connect Model Year Post 2019.75,1.5 EcoBlue,M6,1499,Diesel,,,121,1450,,1450,Euro 6d-TEMP,100
FORD,New Grand Tourneo Connect Model Year Post 2019.75,1.5 EcoBlue,M6,1499,Diesel,,,121,1450,,1450,Euro 6d-TEMP,100
HONDA,HR-V 2020,HR-V 1.5 i-VTEC EX 5 door (Standard Model),CVT,1498,Petrol,0,,121,1755,,1755,Euro 6d-TEMP,131
HONDA,HR-V 2020,HR-V 1.5 i-VTEC EX 5 door (Standard Model),A1,1498,Petrol,0,,121,1755,,1755,Euro 6d-TEMP,131
